contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Option_Type,Expiration,Date,Time_to_Expiration,Underlying_Price,Implied_Volatility,BS_Price,Delta,Gamma,Theta,Vega,Rho
AAPL241227P00140000,2024-12-09 17:05:10+00:00,140.0,0.01,0.0,0.01,0.0,0.0,,10,3.50000125,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,3.50000125,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00145000,2024-12-16 20:29:59+00:00,145.0,0.01,0.0,0.01,0.0,0.0,250.0,256,3.3125017187499997,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,3.3125017187499997,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00150000,2024-12-23 15:08:38+00:00,150.0,0.01,0.0,0.01,0.0,0.0,1.0,403,3.1250021875,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,3.1250021875,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00155000,2024-12-18 20:40:09+00:00,155.0,0.01,0.0,0.01,0.0,0.0,1.0,553,2.93750265625,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,2.93750265625,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00160000,2024-12-19 14:52:00+00:00,160.0,0.01,0.0,0.01,0.0,0.0,140.0,802,2.750003125,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,2.750003125,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00165000,2024-12-19 14:49:00+00:00,165.0,0.01,0.0,0.01,0.0,0.0,10.0,1104,2.6250034375,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,2.6250034375,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00170000,2024-12-20 18:46:13+00:00,170.0,0.01,0.0,0.01,0.0,0.0,402.0,821,2.43750390625,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,2.43750390625,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00175000,2024-12-20 19:57:02+00:00,175.0,0.01,0.0,0.02,0.0,0.0,221.0,664,2.4062539843749997,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,2.4062539843749997,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00180000,2024-12-23 20:14:37+00:00,180.0,0.01,0.0,0.02,0.0,0.0,22.0,354,2.2500043749999996,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,2.2500043749999996,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00185000,2024-12-23 20:58:53+00:00,185.0,0.01,0.0,0.01,0.0,0.0,3646.0,3542,1.9375003125,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,1.9375003125,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00190000,2024-12-23 20:58:56+00:00,190.0,0.01,0.0,0.01,0.0,0.0,593.0,4985,1.8125009374999999,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,1.8125009374999999,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00195000,2024-12-27 14:51:47+00:00,195.0,0.01,0.0,0.02,0.0,0.0,30.0,2108,1.75000125,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,1.75000125,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00200000,2024-12-27 17:24:02+00:00,200.0,0.01,0.0,0.01,0.0,0.0,1.0,7340,1.5000025,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,1.5000025,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00205000,2024-12-27 15:33:32+00:00,205.0,0.01,0.0,0.01,0.0,0.0,5.0,3241,1.3750031249999999,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,1.3750031249999999,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
AAPL241227P00207500,2024-12-23 20:39:03+00:00,207.5,0.01,0.0,0.02,0.0,0.0,62.0,112,1.3750031249999999,False,REGULAR,USD,put,2024-12-27,2024-12-27 16:59:51.645846,-0.0027397260273972603,255.58999633789062,1.3750031249999999,,Ellipsis,Ellipsis,Ellipsis,Ellipsis,Ellipsis
